zone_id,zone_name,total_activity,total_revenue,avg_fare
237,Upper East Side South,3044706,40412424.75000008,13.273013798376619
236,Upper East Side North,2872666,40083316.420000106,13.953350796786019
161,Midtown Center,2867821,46787085.60000001,16.31450693749715
230,Times Sq/Theatre District,2172835,43140141.74000002,19.8543109532017
162,Midtown East,2101369,33362059.770000007,15.876345263492517
170,Murray Hill,1972550,30965122.50999996,15.698016531900311
142,Lincoln Square East,1937025,28684183.48999996,14.808370304977975
186,Penn Station/Madison Sq West,1929236,31571704.04000002,16.36487399156973
68,East Chelsea,1841717,31171477.98999999,16.92522683452452
234,Union Sq,1825972,27059679.280000027,14.819328708216789
239,Upper West Side South,1803612,27482276.499999866,15.237355096328848
163,Midtown North,1764028,29560675.360000018,16.757486479806452
132,JFK Airport,1741040,112676741.83999892,64.71806612139808
48,Clinton East,1664395,28284786.609999936,16.994034835480722
79,East Village,1660621,26665260.75,16.0574030739103
141,Lenox Hill West,1629983,23279158.589999832,14.281841338222442
164,Midtown South,1494844,25641677.750000007,17.153413834487083
249,West Village,1430704,21645377.519999966,15.129179424954405
140,Lenox Hill East,1368174,21715650.409999963,15.871994651265089
246,West Chelsea/Hudson Yards,1356527,21934198.38999999,16.169378412667047
